Global Fortune 500 Ranking,Company Name,CEO First Name,CEO Last Name,CEO Business Title,CEO Education Summary,Company Org Chart URL (See all the CEO's direct reports),CEO Biography,Company Industry,Company Country,Company Stock Ticker,Company Customer ID,Executive Customer ID,Degree 1,College 1,Degree 2,College 2
83,Hyundai Motor,Jae-Hoon,Chang,"Director, President and Chief Executive Officer",Jae-Hoon Chang graduated from Korea University.,https://www.theofficialboard.com/org-chart/hyundai-motor-3,https://www.theofficialboard.com/biography/jae-hoon-chang-d3495,Automotive,"Korea, Republic of",KR - 005380,d4r0m,9w6qoe,,Korea University,,
84,Gazprom,Aleksey,Miller,"Chairman of the Management Board, Deputy Chairman of the Board, General Director",Aleksey Miller has a PhD in Economics from Voznesensky Leningrad Finance and Economics Institute.,https://www.theofficialboard.com/org-chart/gazprom,https://www.theofficialboard.com/biography/aleksey-miller-2gd8g,Oil & Gas,Russian Federation,RU - GAZP,oelm,9p9wr,PhD in Economics,,,
85,Dongfeng Motor,Qing,Yang,"President, Executive Director",Qing Yang has a Bachelor in Engineering from Wuhan Technical Institute.,https://www.theofficialboard.com/org-chart/dongfeng-motor-2,https://www.theofficialboard.com/biography/qing-yang-58gd7,Automotive,China,CN - 600006,7ev45,x25el9,,,,
86,Meta Platforms,Mark,Zuckerberg,"Founder, Chairman of the Board and Chief Executive Officer",Mark Zuckerberg has a a degree in Classics from Ardsley High School in 2000 and a Degree in Computer Science from Harvard University in 2004.,https://www.theofficialboard.com/org-chart/meta-platforms,https://www.theofficialboard.com/biography/mark-zuckerberg-24d19,Communication & Sales,United States (USA),US - META,zpqw5,77m6n,Degree in Computer Science,Harvard University,a degree in Classics,
87,Ahold Delhaize,Frans,Muller,Chief Executive Officer,"Frans Muller has a Master of Business Economics from Erasmus University, Rotterdam.",https://www.theofficialboard.com/org-chart/ahold-delhaize,https://www.theofficialboard.com/biography/frans-muller-81e31,Retail,Netherlands,NL - AHONY,d4j68,op4d5z,Master of Business Economics,,,
88,Sony,Kenichiro,Yoshida,"Chairman, President and Chief Executive Officer, Representative Corporate Executive Officer",Director,https://www.theofficialboard.com/org-chart/sony,,Consumer Electronics,Japan,JP - 6758,n0l8,1m55xm,,,,
89,UPS,Carol,Tome,Chief Executive Officer and Director,Carol Tome has a Bachelor of Science in Communication from University of Wyoming and a Master of Business Administration in Finance from University of Denver.,https://www.theofficialboard.com/org-chart/ups,https://www.theofficialboard.com/biography/carol-tome-2d84d,Package/Freight Delivery,United States (USA),US - UPS,qqq20,lv54m,Master of Business Administration in Finance,University of Denver,Bachelor of Science in Communication,University of Wyoming
90,People's Insurance Group of China,Tingke,Wang,"Executive Vice Chairman of The Board, President",Tingke Wang has a PhD from Xi'an Jiaotong University.,https://www.theofficialboard.com/org-chart/people-s-insurance-group-of-china,https://www.theofficialboard.com/biography/tingke-wang-d34e2,Insurance,China,CN - 601319,jpjnq,1wyx2q,PhD,Xi'an Jiaotong University,,
91,China Southern Power Grid,Zhian,Cao,President and Director,Zhian Cao has a Master from North China Electric Power University.,https://www.theofficialboard.com/org-chart/china-southern-power-grid-2,https://www.theofficialboard.com/biography/zhian-cao-689g8,Utilities,China,CN - 003035,4ro48,vqyxj0,Master,,,
92,China National Offshore Oil Corporation,Dongjin,Wang,President and Director,Dongjin Wang has a Bachelor from China University of Petroleum.,https://www.theofficialboard.com/org-chart/china-national-offshore-oil-corporation,https://www.theofficialboard.com/biography/dongjin-wang-d8365,Oil & Gas,China,,x5jdw,zz084j,Bachelor,,,
93,Credit Agricole,Philippe,Brassac,Chief Executive Officer,Philippe Brassac graduated from Ensae ParisTech.,https://www.theofficialboard.com/org-chart/credit-agricole,https://www.theofficialboard.com/biography/philippe-brassac-97g62,Banking,France,FR - ACA,1o8e,7r945x,,,,
94,Johnson & Johnson,Joaquin,Duato,Chief Executive Officer and Director,Joaquin Duato has a Master of International Management from Thunderbird School of Global Management and a Master of Business Administration from ESADE Business School.,https://www.theofficialboard.com/org-chart/johnson-johnson,https://www.theofficialboard.com/biography/joaquin-duato-g2876,Pharmaceuticals,United States (USA),US - JNJ,58d4o,9zd2ne,Master of Business Administration,ESADE Business School,Master of International Management,
95,Hitachi,Keiji,Kojima,Chief Executive Officer,,https://www.theofficialboard.com/org-chart/hitachi,,Consumer Electronics,Japan,JP - 6501,2r1j,dqo48o,,,,
96,Carrefour,Alexandre,Bompard,Chairman of the Board and Chief Executive Officer,Alexandre Bompard has a Master in Public Law and in Economics from Ecole Nationale de l’Administration.,https://www.theofficialboard.com/org-chart/carrefour,https://www.theofficialboard.com/biography/alexandre-bompard-73d79,Retail,France,FR - CA,xqpp,0jyzx5,Master in Public Law and in Economics,,,
97,BNP Paribas,Jean-Laurent,Bonnafe,Chief Executive Officer,Jean-Laurent Bonnafe graduated from Ecole des Mines and from Ecole Polytechnique of Paris.,https://www.theofficialboard.com/org-chart/bnp-paribas,https://www.theofficialboard.com/biography/jean-laurent-bonnafe-e45d8,Banking,France,FR - BNP,w9mv,1xjp8,,Ecole Polytechnique of Paris,,
98,Bosch,Stefan,Hartung,Chairman of the Management Board,Stefan Hartung has a Mechanical Engineering Degree in Manufacturing Technology from RWTH Aachen University and a PhD in Quality Management Methods from RWTH Aachen University.,https://www.theofficialboard.com/org-chart/bosch-1,https://www.theofficialboard.com/biography/stefan-hartung-2ed2e,Automotive,Germany,US - BOSCHLTD,1mqx4,nw2e8z,PhD in Quality Management Methods,RWTH Aachen University,Mechanical Engineering Degree in Manufacturing Technology,RWTH Aachen University
99,Tesco,Ken,Murphy,Chief Executive Officer,"In 1988, Ken Murphy completed a Bachelor of Commerce in Finance, Economics, Law and Marketing at University College Cork.",https://www.theofficialboard.com/org-chart/tesco-1,https://www.theofficialboard.com/biography/ken-murphy-216g4,Retail,United Kingdom (UK),GB - TSCO,5r8w,lpqzzm,"Bachelor of Commerce in Finance, Economics, Law and Marketing",University College Cork,,
100,Aeon,Motoya,Okada,Chief Executive Officer and Representative Director,,https://www.theofficialboard.com/org-chart/aeon,,Industrial Conglomerates,Japan,JP - 8267,de19,llvyr,,,,
101,China Energy Investment,Guoyue,Liu,General Manager and Director,,https://www.theofficialboard.com/org-chart/china-energy-investment,,Mining,China,,merww,j1mwoo,,,,
102,HSBC,Noel,Quinn,Group Chief Executive Officer,Noel Quinn has a Bachelor of Arts in Accounting from Birmingham Polytechnic.,https://www.theofficialboard.com/org-chart/hsbc,https://www.theofficialboard.com/biography/noel-quinn-7e324,Banking,United Kingdom (UK),GB - HSBA,v11qp,m9n8nj,Bachelor of Arts in Accounting,,,
103,Wells Fargo,Charles,Scharf,"President, Chief Executive Officer and Director",Charles Scharf has a Bachelor of Arts from Johns Hopkins University and a Master of Business Administration from New York University.,https://www.theofficialboard.com/org-chart/wells-fargo,https://www.theofficialboard.com/biography/charles-scharf-e3eg3,Banking,United States (USA),US - WFC,vv2ql,11o7e8,Master of Business Administration,New York University,Bachelor of Arts,Johns Hopkins University
104,GE,Lawrence,Culp,Chairman of the Board and Chief Executive Officer,Lawrence Culp has a Bachelor of Arts in Economics from Washington College and a Master of Business Administration from Harvard Business School.,https://www.theofficialboard.com/org-chart/ge,https://www.theofficialboard.com/biography/lawrence-culp-43d03,Industrial Conglomerates,United States (USA),US - GE,28ej,1lv97e,Master of Business Administration,Harvard Business School,Bachelor of Arts in Economics,Washington College
105,EDF,Jean-Bernard,Levy,Chairman of the Board and Chief Executive Officer,Jean-Bernard Levy has a Master from Telecom ParisTech and a Graduate Degree in Public International Law and political science from University of Paris.,https://www.theofficialboard.com/org-chart/edf,https://www.theofficialboard.com/biography/jean-bernard-levy-58g03,Utilities,France,FR - EDF,rporm,vpreq0,Graduate Degree in Public International Law and political science,University of Paris,Master,Telecom ParisTech
106,State Farm,Michael,Tipsord,"Chairman of the Board, President and Chief Executive Officer",Michael Tipsord has a Law Degree from University of Illinois and a Bachelor from Illinois Wesleyan University.,https://www.theofficialboard.com/org-chart/state-farm,https://www.theofficialboard.com/biography/michael-tipsord-212g9,Insurance,United States (USA),,e9y21,ppxqxn,Bachelor,Illinois Wesleyan University,Law Degree,University of Illinois
108,Intel,Patrick,Gelsinger,Chief Executive Officer,Patrick Gelsinger has a Bachelor in Electrical Engineering from Santa Clara University in 1983 and a Master in Electrical Engineering from Stanford University in 1985.,https://www.theofficialboard.com/org-chart/intel,https://www.theofficialboard.com/biography/patrick-gelsinger-040g9,Semiconductors,United States (USA),US - INTC,y8r4r,8q889r,Master in Electrical Engineering,Stanford University,Bachelor in Electrical Engineering,Santa Clara University
109,Sinopharm,Yong,Liu,President,"Yong Liu has a Bachelor in Science, Majoring in Business Administration of Pharmaceutical Enterprises from China Pharmaceutical University and a Master of Business Administration from Fudan University.",https://www.theofficialboard.com/org-chart/sinopharm,https://www.theofficialboard.com/biography/yong-liu-45d19,Pharmaceuticals,China,CN - 1099,294wq,orxxl7,Master of Business Administration,Fudan University,,
110,Humana,Bruce,Broussard,"President, Chief Executive Officer and Director",Bruce Broussard has a Bachelor of Business Administration in Finance and Accounting from Texas A&M University in 1984 and a Master of Business Administration in Finance from University of Houston in 1989.,https://www.theofficialboard.com/org-chart/humana,https://www.theofficialboard.com/biography/bruce-broussard-640e8,Insurance,United States (USA),US - HUM,y8p2v,99vw0r,Master of Business Administration in Finance,University of Houston,Bachelor of Business Administration in Finance and Accounting,Texas A&M University
111,Nippon Life Insurance,Hiroshi,Shimizu,President and Chief Executive Officer,"In 1983, Hiroshi Shimizu completed a Bachelor of Arts in Science at Kyoto University.",https://www.theofficialboard.com/org-chart/nippon-life-insurance,https://www.theofficialboard.com/biography/hiroshi-shimizu-360g3,Insurance,Japan,,ll6yy,11v19m,Bachelor of Arts in Science,Kyoto University,,
112,Cofco,Richeng,Luan,President,Richeng Luan has a Undergraduate Degree from Shandong University and a Master of Business Administration from China Europe International Business School.,https://www.theofficialboard.com/org-chart/cofco,https://www.theofficialboard.com/biography/richeng-luan-3e382,Food,China,,w6m0,11rr4q,Master of Business Administration,China Europe International Business School,Undergraduate Degree,
113,Deutsche Post DHL,Frank,Appel,Chief Executive Officer (until May 4 2023),Frank Appel has a Master of Science in Chemistry from University of Munich in 1989 and a Doctor of Philosophy in Neurobiology from Swiss Federal Institute of Technology Zurich in 1993.,https://www.theofficialboard.com/org-chart/deutsche-post-dhl,https://www.theofficialboard.com/biography/frank-appel-g8608,Package/Freight Delivery,Germany,DE - DPW,97l4,me7jq,Doctor of Philosophy in Neurobiology,Swiss Federal Institute of Technology Zurich,Master of Science in Chemistry,University of Munich
114,Mitsui & Co,Kenichi,Hori,President and Chief Executive Officer,,https://www.theofficialboard.com/org-chart/mitsui-co,,Wholesale,Japan,JP - 8031,opj8,5v2xzv,,,,
115,Citic Group,Guohua,Xi,President and Vice Chairman of the Board,Guohua Xi has a Master in Management from Hunan University and a PhD in Engineering from Central South University.,https://www.theofficialboard.com/org-chart/citic-group1,https://www.theofficialboard.com/biography/guohua-xi-48d48,Holding,China,HK - 0267,xdm9w,6qr585,,,Master in Management,
116,Nissan Motor,Makoto,Uchida,"President, Chief Executive Officer and Director",Makoto Uchida graduated from Doshisha University.,https://www.theofficialboard.com/org-chart/nissan-motor-1,https://www.theofficialboard.com/biography/makoto-uchida-d6852,Automotive,Japan,JP - 7201,rp2m9,jxqrd1,,Doshisha University,,
117,Munich Re,Joachim,Wenning,Chairman of the Management Board,"In 1991, Joachim Wenning completed a Degree in Economics at Ludwig Maximilian University of Munich.",https://www.theofficialboard.com/org-chart/munich-re,https://www.theofficialboard.com/biography/joachim-wenning-7061g,Reinsurance,Germany,DE - MURGY,xy8e0,ppjmvq,Degree in Economics,Ludwig Maximilian University of Munich,,
118,Enel,Francesco,Starace,Chief Executive Officer,Francesco Starace has a degree in Nuclear Engineering from Politecnico di Milano.,https://www.theofficialboard.com/org-chart/enel,https://www.theofficialboard.com/biography/francesco-starace-04d56,Utilities,Italy,IT - ENEL,lmm6,68r8j2,degree in Nuclear Engineering,Politecnico di Milano,,
119,Dai-ichi Life Insurance,Seiji,Inagaki,"President, President of Subsidiary and Representative Director",Seiji Inagaki has a Bachelor of Economics from Keio University in 1986 and a Master of Business Administration from Harvard Business School in 1992.,https://www.theofficialboard.com/org-chart/dai-ichi-life-insurance,https://www.theofficialboard.com/biography/seiji-inagaki-d2549,Insurance,Japan,JP - 8750,zpmnv,5vno2w,Master of Business Administration,Harvard Business School,Bachelor of Economics,Keio University
120,Santander,José Antonio,Álvarez,Vice Chairman of the Board and Chief Executive Officer,José Antonio Álvarez has a Bachelor in Business Economics Science from Universidad Santiago de Compostela and a Master of Business Administration from University of Chicago.,https://www.theofficialboard.com/org-chart/santander,https://www.theofficialboard.com/biography/jose-antonio-alvarez-8g01e,Banking,Spain,ES - SAN,vn25,2rwnl2,Master of Business Administration,University of Chicago,Bachelor in Business Economics Science,
121,IBM,Arvind,Krishna,"Chief Executive Officer, Chairman of the Board and Director","Arvind Krishna has a Bachelor of Technology from Indian Institute of Technology, Kanpur in 1985 and a Doctor of Philosophy in Electrical and Computer Engineering from University of Illinois at Urbana-Champaign in 1991.",https://www.theofficialboard.com/org-chart/ibm,https://www.theofficialboard.com/biography/arvind-krishna-51d56,Information Technology & Services,United States (USA),US - IBM,4mn9q,7w7yjn,Doctor of Philosophy in Electrical and Computer Engineering,University of Illinois at Urbana-Champaign,Bachelor of Technology,"Indian Institute of Technology, Kanpur"
122,Evergrande Group,Haijun,Xia,Vice Chairman of the Board and Chief Executive Officer,Haijun Xia has a Master from Jinan University and a PhD from Jinan University.,https://www.theofficialboard.com/org-chart/evergrande-group,https://www.theofficialboard.com/biography/haijun-xia-041g4,Real Estate,China,CN - 3333,w0l1m,zdvzyv,PhD,,Master,
123,United States Postal Service,Louis,DeJoy,Chief Executive Officer and Director,Louis DeJoy has a Bachelor from Stetson University.,https://www.theofficialboard.com/org-chart/united-states-postal-service,https://www.theofficialboard.com/biography/louis-dejoy-746d4,Package/Freight Delivery,United States (USA),US - 6507Z,27dm2,7qrxjv,Bachelor,Stetson University,,
124,BAIC Motor,Wenbing,Huang,"President, Chief Executive Officer, Executive Director",,https://www.theofficialboard.com/org-chart/baic-motor,,Automotive,China,HK - 1958,vr81e,v2ll2l,,,,
125,Lukoil,Vagit,Alekperov,"Chairman of the Management Board, President, Director",Vagit Alekperov has obtained a degree from Azerbaijan Oil and Chemistry Institute in 1974.,https://www.theofficialboard.com/org-chart/lukoil,https://www.theofficialboard.com/biography/vagit-alekperov-64g54,Oil & Gas,Russian Federation,RU - LUKOY,nen6z,75vqn,,,,
126,China Telecom,Ruiwen,Ke,"Executive Chairman Of The Board, President, Chief Executive Officer, Chief Operating Officer and Joint Company Secretary",Ruiwen Ke has a PhD in Business Administration from ESC Rennes School of Business.,https://www.theofficialboard.com/org-chart/china-telecom,https://www.theofficialboard.com/biography/ruiwen-ke-g9107,Telecommunications,China,CN - 601728,4mo,00ye9w,PhD in Business Administration,,,
127,Norinco Group,Kaihe,Jiao,Chairman of the Board,,https://www.theofficialboard.com/org-chart/norinco-group-2,,Defense & Space,China,CN - 000065,6qo4r,2j2n0q,,,,
128,P&G,David,Taylor,Executive Chairman of the Board,David Taylor graduated from Duke University.,https://www.theofficialboard.com/org-chart/p-g,https://www.theofficialboard.com/biography/david-taylor-73e65,Household Products,United States (USA),US - PG,dqyw4,8lvvd4,,Duke University,,
129,SK Holdings,Dong-Hyun,Jang,"Co-President, Co-Chief Executive Officer and Director",Dong-Hyun Jang has a Master from Seoul National University.,https://www.theofficialboard.com/org-chart/sk-holdings,https://www.theofficialboard.com/biography/dong-hyun-jang-2g5eg,Information Technology & Services,"Korea, Republic of",KR - 034730,rp28m,norwwq,Master,Seoul National University,,
130,E.ON,Leonhard,Birnbaum,Chief Executive Officer and Chairman of the Board of Management,Leonhard Birnbaum graduated from Karlsruhe Institute of Technology.,https://www.theofficialboard.com/org-chart/e-on,https://www.theofficialboard.com/biography/leonhard-birnbaum-d8259,Energy,Germany,DE - EOAN,n4dv,e9vwpm,,Karlsruhe Institute of Technology,,
131,Pepsico,Ramon,Laguarta,Chairman of the Board and Chief Executive Officer,Ramon Laguarta has a Master in International Management from Thunderbird School of Global Management and a Master of Business Administration from ESADE Business School.,https://www.theofficialboard.com/org-chart/pepsico,https://www.theofficialboard.com/biography/ramon-laguarta-d8468,Beverages,United States (USA),US - PEP,qe9d5,8w8w8m,Master of Business Administration,ESADE Business School,Master in International Management,
132,Tencent,Ma (Pony),Huateng,Chairman of the Board and Chief Executive Officer,"In 1993, Ma (Pony) Huateng completed a Bachelor of Science in Computer Science at Shenzhen University.",https://www.theofficialboard.com/org-chart/tencent,https://www.theofficialboard.com/biography/ma-pony-huateng-942d4,Internet,China,CN - TCEHY,lormy,2n2zp,Bachelor of Science in Computer Science,,,
133,Albertsons,Vivek,Sankaran,President and Chief Executive Officer,Vivek Sankaran has a Master in Industrial Engineering from Georgia Institute of Technology in 1988 and a Master of Business Administration from University of Michigan - Stephen M. Ross School of Business in 1993.,https://www.theofficialboard.com/org-chart/albertsons-2,https://www.theofficialboard.com/biography/vivek-sankaran-d3603,Retail,United States (USA),US - ACI,wq7n0,56wo5o,Master of Business Administration,University of Michigan - Stephen M. Ross School of Business,Master in Industrial Engineering,Georgia Institute of Technology
134,BASF,Martin,Brudermueller,Chairman of the Management Board,Martin Brudermueller has a Bachelor from Karlsruhe Institute of Technology in 1985 and a PhD from Karlsruhe Institute of Technology in 1987.,https://www.theofficialboard.com/org-chart/basf,https://www.theofficialboard.com/biography/martin-brudermueller-58dg9,Chemicals,Germany,DE - BAS,w5nz,jxono,PhD,Karlsruhe Institute of Technology,Bachelor,Karlsruhe Institute of Technology
135,FedEx,Frederick,Smith,"Chief Executive Officer, Chairman of the Board and Director",Frederick Smith has a Bachelor of Arts from Yale University.,https://www.theofficialboard.com/org-chart/fedex-2,https://www.theofficialboard.com/biography/frederick-smith-7e741,Package/Freight Delivery,United States (USA),US - FDX,02qw,4xp6r,Bachelor of Arts,Yale University,,
136,MetLife,Michel,Khalaf,"President, Chief Executive Officer and Director",Michel Khalaf has a Bachelor of Science degree in engineering and a Master of Business Administration in finance from Syracuse University.,https://www.theofficialboard.com/org-chart/metlife,https://www.theofficialboard.com/biography/michel-khalaf-8e019,Insurance,United States (USA),US - MET,jwm0l,zdm664,Bachelor of Science degree in engineering and a Master of Business Administration in finance,Syracuse University,,
137,Bank of Communications,Liu,Jun,President,Liu Jun has a PhD from Hong Kong Polytechnic University and a Master of Business Administration from Northeastern Oklahoma University.,https://www.theofficialboard.com/org-chart/bank-of-communications,https://www.theofficialboard.com/biography/liu-jun-d6de2,Banking,China,CN - 601328,p621,2wrqqx,Master of Business Administration,,PhD,Hong Kong Polytechnic University
138,Datong Coal Mine,Jinggang,Guo,Vice Chairman of Board and General Manager,,https://www.theofficialboard.com/org-chart/datong-coal-mine,,Mining,China,,x9x2w,qqlome,,,,
139,Country Garden,Bin,Mo,"President, Chief Executive Officer, Executive Director",Bin Mo has a Bachelor from University of South China and a Master from Zhongnan University of Economics & Law Wuhan College.,https://www.theofficialboard.com/org-chart/country-garden,https://www.theofficialboard.com/biography/bin-mo-84e06,Real Estate,China,HK - 2007,zr4jq,012zd5,Master,,Bachelor,
140,Aviation Industry Corporation of China,Ronghuai,Luo,President,Ronghuai Luo has a Bachelor in High Altitude Equipment in Department of Aircraft Design from Nanjing University of Aeronautics and Astronautics and a Master of Business Administration from Sichuan Institute of Business Administration.,https://www.theofficialboard.com/org-chart/aviation-industry-corporation-of-china,https://www.theofficialboard.com/biography/ronghuai-luo-d0631,Aerospace,China,CN - 161,vv0p5,owmqd8,Master of Business Administration,,,
141,Freddie Mac,Michael,DeVito,Chief Executive Officer and Director,"In 1986, Michael DeVito completed a Bachelor of Science in Accounting at Ithaca College.",https://www.theofficialboard.com/org-chart/freddie-mac,https://www.theofficialboard.com/biography/michael-devito-d9069,Banking,United States (USA),US - FMCC,51eo,7qmpxn,Bachelor of Science in Accounting,Ithaca College,,
142,Greenland Group,Zhang,Yuliang,"Chairman of the Board, President",,https://www.theofficialboard.com/org-chart/greenland-group,,Real Estate,China,CN - 600606,pjq1n,e0dlj5,,,,
143,Phillips 66,Greg,Garland,Chairman and Chief Executive Officer,Greg Garland has a Bachelor of Science in Chemical Engineering from Texas A&M University.,https://www.theofficialboard.com/org-chart/phillips-66,https://www.theofficialboard.com/biography/greg-garland-1830g,Oil & Gas,United States (USA),US - PSX,684p5,6ejx4w,Bachelor of Science in Chemical Engineering,Texas A&M University,,
144,Lockheed Martin,James,Taiclet,"President, Chief Executive Officer and Chairman of the Board",James Taiclet has a Master in Public Affairs from Princeton University and a Distinguished Graduate from United States Air Force Academy.,https://www.theofficialboard.com/org-chart/lockheed-martin,https://www.theofficialboard.com/biography/james-taiclet-e8378,Defense & Space,United States (USA),US - LMT,o54j8,2lwdx7,,United States Air Force Academy,Master in Public Affairs,Princeton University
145,The Walt Disney Company,Bob,Chapek,Chief Executive Officer and Director,Bob Chapek has a Master of Business Administration from Michigan State University and a Degree in Microbiology from Indiana University Bloomington.,https://www.theofficialboard.com/org-chart/the-walt-disney-company,https://www.theofficialboard.com/biography/bob-chapek-e3603,Entertainment & Travel,United States (USA),US - DIS,n9rw,d4wp59,Degree in Microbiology,Indiana University Bloomington,Master of Business Administration,Michigan State University
146,ADM,Juan,Luciano,"Chairman of the Board, Chief Executive Officer and President",Juan Luciano has a Master in Industrial Engineering from Instituto Tecnológico de Buenos Aires.,https://www.theofficialboard.com/org-chart/adm,https://www.theofficialboard.com/biography/juan-luciano-e98e6,Food,United States (USA),US - ADM,r719,r5yenm,Master in Industrial Engineering,Instituto Tecnológico de Buenos Aires,,
147,Roche,Severin,Schwan,Chief Executive Officer and Director,Severin Schwan has a Degree in Economics from University of Innsbruck and a Juris Doctor from University Louvain.,https://www.theofficialboard.com/org-chart/roche,https://www.theofficialboard.com/biography/severin-schwan-d3203,Pharmaceuticals,Switzerland,CH - ROG,v1xq0,wy22v,Juris Doctor,,Degree in Economics,University of Innsbruck
148,Xiamen C&D,Mao,Lin,General Manager and Director,,https://www.theofficialboard.com/org-chart/xiamen-c-d,,Logistics,China,CN - 600153,xr4pj,8dl2qr,,,,
149,China Pacific Construction Group,Risheng,Dai,Chief Executive Officer,,https://www.theofficialboard.com/org-chart/china-pacific-construction-group,,Construction,China,,wz8ve,71v01r,,,,
150,Siemens,Roland,Busch,President and Chief Executive Officer,"In 1994, Roland Busch completed a Doctor of Philosophy in High Temperature Superconductivity Physics at University of Erlangen-Nuremberg.",https://www.theofficialboard.com/org-chart/siemens,https://www.theofficialboard.com/biography/roland-busch-56d06,Electrical & Electronic Components,Germany,DE - SIE,nex9w,jwqvxo,Doctor of Philosophy in High Temperature Superconductivity Physics,University of Erlangen-Nuremberg,,
151,Sinochem,Hua,Yang,President and Director,Hua Yang has a Bachelor from China University of Petroleum and a Master of Business Administration from Massachusetts Institute of Technology - Sloan School of Management.,https://www.theofficialboard.com/org-chart/sinochem,https://www.theofficialboard.com/biography/hua-yang-24g54,Wholesale,China,CN - 600500,4nqeq,nm27qw,Master of Business Administration,Massachusetts Institute of Technology - Sloan School of Management,Bachelor,
152,Engie,Catherine,MacGregor,Chief Executive Officer and Director,Catherine MacGregor has obtained a degree from CentraleSupélec in 1995.,https://www.theofficialboard.com/org-chart/engie,https://www.theofficialboard.com/biography/catherine-macgregor-793e9,Utilities,France,FR - ENGI,mqqqj,lywxmr,,CentraleSupélec,,
153,Legal & General Group,Nigel,Wilson,Group Chief Executive Officer and Chairman of Legal and General America and Executive Director,Nigel Wilson has a Degree in Economics from the University of Essex and a PhD from Massachusetts Institute of Technology.,https://www.theofficialboard.com/org-chart/legal-general-group,https://www.theofficialboard.com/biography/nigel-wilson-26e25,Insurance,United Kingdom (UK),GB - LGEN,w4z98,6ery62,PhD,Massachusetts Institute of Technology,Degree in Economics,
154,Panasonic,Yuki,Kusumi,Group Chief Executive Office and Group Chief Strategy Officer,Yuki Kusumi has obtained a degree from Kyoto University in 1989.,https://www.theofficialboard.com/org-chart/panasonic-2,https://www.theofficialboard.com/biography/yuki-kusumi-28e09,Consumer Electronics,Japan,JP - 6752,vpo0,pezn2r,,Kyoto University,,
155,Reliance Industries,Mukesh,Ambani,"Chairman of the Board, Managing Director","Mukesh Ambani has a Chemical engineering degree from Institute of Chemical Technology, Mumbai and a Master of Business Administration from Stanford University.",https://www.theofficialboard.com/org-chart/reliance-industries,https://www.theofficialboard.com/biography/mukesh-ambani-d4215,Industrial Conglomerates,India,IN - RLNIY,5m0ev,p55y8,Master of Business Administration,Stanford University,Chemical engineering degree,
156,Brookfield Asset Management,Bruce,Flatt,Chief Executive Officer and Director,Bruce Flatt has a Undergraduate Degree from University of Manitoba.,https://www.theofficialboard.com/org-chart/brookfield-asset-management-2,https://www.theofficialboard.com/biography/bruce-flatt-454g7,Financial Services,Canada,US - BIPC,vvx76,xy8rnj,Undergraduate Degree,University of Manitoba,,
157,Aviva,Amanda,Blanc,Chief Executive Officer and Director,Amanda Blanc has a Bachelor in Modern History from University of Liverpool in 1989 and a Master of Business Administration from University of Leeds in 1999.,https://www.theofficialboard.com/org-chart/aviva,https://www.theofficialboard.com/biography/amanda-blanc-e9689,Insurance,United Kingdom (UK),GB - AV,qoyn,y6zvjr,Master of Business Administration,University of Leeds,Bachelor in Modern History,University of Liverpool
158,China Pacific Insurance,Fan,Fu,President and Executive Director,Deputy General Manager,https://www.theofficialboard.com/org-chart/china-pacific-insurance,,Insurance,China,CN - 601601,joqlq,6q9815,,,,
161,ChemChina,Xingqiang,Yang,President,Xingqiang Yang graduated from Sichuan University.,https://www.theofficialboard.com/org-chart/chemchina,https://www.theofficialboard.com/biography/xingqiang-yang-3d42d,Chemicals,China,CN - 601117,mv8pp,mp5lzl,,,,
162,China Merchants Bank,Huiyu,Tian,President,Huiyu Tian has a Doctoral Degree in Economics from Central University of Finance and Economics.,https://www.theofficialboard.com/org-chart/china-merchants-bank,https://www.theofficialboard.com/biography/huiyu-tian-g3g80,Banking,China,CN - 600036,2r27q,e9ool4,,,,
163,China Merchants Group,Jianhua,Hu,Group President,Jianhua Hu has a Master in Construction Management from University of Birmingham and a Doctor of Philosophy in Business Administration from University of South Australia.,https://www.theofficialboard.com/org-chart/china-merchants-group,https://www.theofficialboard.com/biography/jianhua-hu-d50e6,Industrial Conglomerates,Hong Kong,HK - 600036,1xqm4,19mxme,Doctor of Philosophy in Business Administration,University of South Australia,Master in Construction Management,University of Birmingham
164,Valero Energy,Joseph,Gorder,"Chairman of the Board, President and Chief Executive Officer",Joseph Gorder has a Bachelor of Business Administration from University of Missouri-Saint Louis and a Master of Business Administration from Our Lady of the Lake University.,https://www.theofficialboard.com/org-chart/valero-energy,https://www.theofficialboard.com/biography/joseph-gorder-d9849,Oil & Gas,United States (USA),US - VLO,yp9ly,m4nel,Master of Business Administration,Our Lady of the Lake University,Bachelor of Business Administration,University of Missouri-Saint Louis
165,Marubeni,Masumi,Kakinoki,"President, Chief Executive Officer and Director",,https://www.theofficialboard.com/org-chart/marubeni,,Wholesale,Japan,JP - 8002,p7yp,pj1z7n,,,,
166,ENEOS Holdings,Tsutomu,Sugimori,"Chairman of The Board, Chief Executive Officer, Representative Director",Senior Vice President,https://www.theofficialboard.com/org-chart/eneos-holdings,,Oil & Gas,Japan,JP - 5020,mo2jj,jo60q0,,,,
167,Toyota Tsusho,Ichiro,Kashitani,"President, Chief Executive Officer and Representative Director",,https://www.theofficialboard.com/org-chart/toyota-tsusho,,Wholesale,Japan,JP - 8015,no1v,d6d6d4,,,,
